-0.21 -0.05
-0.24 -0.05
-0.26 -0.04
-0.27 -0.04
-0.29 -0.04
-0.30 -0.03
-0.32 -0.02
-0.33 -0.02
-0.35 -0.01
-0.36 -0.00
-0.37 -0.00
-0.37 -0.02
-0.36 -0.04
-0.36 -0.06
-0.35 -0.08
-0.35 -0.10
-0.34 -0.12
-0.34 -0.14
-0.34 -0.16
-0.34 -0.17
-0.34 -0.19
-0.34 -0.22
-0.34 -0.24
-0.34 -0.26
-0.34 -0.28
-0.33 -0.27
-0.32 -0.26
-0.31 -0.25
-0.31 -0.24
-0.30 -0.23
-0.30 -0.21
-0.28 -0.24
-0.28 -0.26
-0.28 -0.27
-0.28 -0.29
-0.29 -0.31
-0.30 -0.32
-0.32 -0.33
-0.33 -0.33
-0.32 -0.32
-0.29 -0.32
-0.26 -0.31
-0.26 -0.30
-0.25 -0.28
-0.25 -0.32
-0.25 -0.35
-0.25 -0.37
-0.26 -0.38
-0.28 -0.40
-0.29 -0.41
-0.29 -0.41
-0.31 -0.41
-0.32 -0.40
-0.31 -0.42
-0.30 -0.43
-0.29 -0.44
-0.28 -0.44
-0.27 -0.43
-0.27 -0.46
-0.28 -0.47
-0.29 -0.48
-0.30 -0.48
-0.32 -0.48
-0.34 -0.46
-0.35 -0.45
-0.36 -0.43
-0.36 -0.42
-0.37 -0.41
-0.37 -0.42
-0.39 -0.44
-0.40 -0.45
-0.41 -0.45
-0.43 -0.45
-0.44 -0.45
-0.44 -0.45
-0.45 -0.44
-0.46 -0.42
-0.45 -0.42
-0.43 -0.42
-0.43 -0.41
-0.42 -0.41
-0.41 -0.40
-0.40 -0.40
-0.40 -0.39
-0.39 -0.37
-0.41 -0.37
-0.42 -0.37
-0.43 -0.37
-0.44 -0.36
-0.45 -0.35
-0.45 -0.33
-0.45 -0.31
-0.45 -0.30
-0.44 -0.31
-0.43 -0.32
-0.41 -0.33
-0.41 -0.33
-0.39 -0.33
-0.40 -0.31
-0.42 -0.29
-0.43 -0.28
-0.43 -0.26
-0.43 -0.24
-0.43 -0.22
-0.42 -0.23
-0.41 -0.24
-0.40 -0.26
-0.39 -0.26
-0.38 -0.26
-0.37 -0.25
-0.37 -0.23
-0.37 -0.22
-0.37 -0.20
-0.37 -0.18
-0.37 -0.16
-0.38 -0.14
-0.38 -0.12
-0.39 -0.09
-0.39 -0.07
-0.40 -0.05
-0.40 -0.03
-0.40 -0.02
-0.41 0.00
-0.42 0.02
-0.43 0.04
-0.44 0.05
-0.44 0.06
-0.45 0.07
-0.46 0.10
-0.46 0.12
-0.46 0.14
-0.46 0.16
-0.45 0.18
-0.44 0.19
-0.42 0.20
-0.41 0.21
-0.40 0.22
-0.39 0.23
-0.38 0.24
-0.37 0.24
-0.36 0.24
-0.34 0.25
-0.33 0.25
-0.31 0.25
-0.30 0.26
-0.29 0.26
-0.28 0.27
-0.26 0.28
-0.25 0.29
-0.23 0.30
-0.21 0.31
-0.20 0.32
-0.19 0.32
-0.16 0.34
-0.14 0.35
-0.13 0.35
-0.12 0.36
-0.11 0.37
-0.10 0.37
-0.09 0.38
-0.07 0.39
-0.05 0.39
-0.04 0.40
-0.03 0.40
-0.02 0.41
-0.00 0.41
0.00 0.41
0.02 0.41
0.03 0.41
0.04 0.41
0.05 0.41
